"Journal","Citations"
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",16
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",15
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
"SCIENTIFIC REPORTS",14
